SetName,Cycle,Time_S,Size_mm,Displacement_mm,Force_N
Sinusoid,1-Preload,0.000,28.941,0,-0.173
Sinusoid,1-Preload,0.200,28.941,0,-0.319
Sinusoid,1-Preload,0.400,29.008,0.067,-0.222
Sinusoid,1-Preload,0.600,29.066,0.125,-0.124
Sinusoid,1-Preload,0.800,29.119,0.178,-0.051
Sinusoid,1-Preload,1.000,29.152,0.211,-0.051
Sinusoid,1-Preload,1.200,29.202,0.261,-0.051
Sinusoid,1-Preload,1.400,29.212,0.271,0.072
Sinusoid,1-Stretch,1.430,29.212,0,0.072
Sinusoid,1-Stretch,1.630,29.217,0.005,0.072
Sinusoid,1-Stretch,1.830,29.218,0.006,0.072
Sinusoid,1-Stretch,2.030,29.219,0.007,0.072
Sinusoid,1-Stretch,2.230,29.22,0.008,0.072
Sinusoid,1-Stretch,2.430,29.222,0.01,0.072
Sinusoid,1-Stretch,2.630,29.223,0.011,0.072
Sinusoid,1-Stretch,2.830,29.223,0.011,0.072
Sinusoid,1-Stretch,3.030,29.225,0.013,0.072
Sinusoid,1-Stretch,3.230,29.226,0.014,0.072
Sinusoid,1-Stretch,3.430,29.227,0.015,0.072
Sinusoid,1-Stretch,3.630,29.228,0.016,0.072
Sinusoid,1-Stretch,3.830,29.229,0.017,0.072
Sinusoid,1-Stretch,4.030,29.231,0.019,0.072
Sinusoid,1-Stretch,4.230,29.231,0.019,0.072
Sinusoid,1-Stretch,4.430,29.233,0.021,0.072
Sinusoid,1-Stretch,4.630,29.234,0.022,0.072
Sinusoid,1-Stretch,4.830,29.235,0.023,0.072
Sinusoid,1-Stretch,5.030,29.236,0.024,0.072
Sinusoid,1-Stretch,5.230,29.237,0.025,0.072
Sinusoid,1-Stretch,5.430,29.237,0.025,0.072
Sinusoid,1-Stretch,5.630,29.244,0.032,0.072
Sinusoid,1-Stretch,5.830,29.247,0.035,0.072
Sinusoid,1-Stretch,6.030,29.251,0.039,0.072
Sinusoid,1-Stretch,6.230,29.254,0.042,0.096
Sinusoid,1-Stretch,6.430,29.258,0.046,0.096
Sinusoid,1-Stretch,6.630,29.261,0.049,0.072
Sinusoid,1-Stretch,6.830,29.264,0.052,0.145
Sinusoid,1-Stretch,7.030,29.268,0.056,0.096
Sinusoid,1-Stretch,7.230,29.271,0.059,0.120
Sinusoid,1-Stretch,7.430,29.275,0.063,0.145
Sinusoid,1-Stretch,7.630,29.278,0.066,0.072
Sinusoid,1-Stretch,7.830,29.282,0.07,0.145
Sinusoid,1-Stretch,8.030,29.285,0.073,0.120
Sinusoid,1-Stretch,8.230,29.289,0.077,0.096
Sinusoid,1-Stretch,8.430,29.292,0.08,0.169
Sinusoid,1-Stretch,8.630,29.295,0.083,0.096
Sinusoid,1-Stretch,8.830,29.299,0.087,0.120
Sinusoid,1-Stretch,9.030,29.302,0.09,0.169
Sinusoid,1-Stretch,9.230,29.306,0.094,0.072
Sinusoid,1-Stretch,9.430,29.308,0.096,0.145
Sinusoid,1-Stretch,9.630,29.316,0.104,0.145
Sinusoid,1-Stretch,9.830,29.321,0.109,0.218
Sinusoid,1-Stretch,10.030,29.327,0.115,0.218
Sinusoid,1-Stretch,10.230,29.332,0.12,0.267
Sinusoid,1-Stretch,10.430,29.337,0.125,0.267
Sinusoid,1-Stretch,10.630,29.343,0.131,0.267
Sinusoid,1-Stretch,10.830,29.348,0.136,0.267
Sinusoid,1-Stretch,11.030,29.353,0.141,0.267
Sinusoid,1-Stretch,11.230,29.358,0.146,0.267
Sinusoid,1-Stretch,11.430,29.364,0.152,0.267
Sinusoid,1-Stretch,11.630,29.369,0.157,0.267
Sinusoid,1-Stretch,11.830,29.374,0.162,0.267
Sinusoid,1-Stretch,12.030,29.38,0.168,0.292
Sinusoid,1-Stretch,12.230,29.385,0.173,0.316
Sinusoid,1-Stretch,12.430,29.39,0.178,0.267
Sinusoid,1-Stretch,12.630,29.396,0.184,0.340
Sinusoid,1-Stretch,12.830,29.401,0.189,0.316
Sinusoid,1-Stretch,13.030,29.406,0.194,0.292
Sinusoid,1-Stretch,13.230,29.412,0.2,0.365
Sinusoid,1-Stretch,13.430,29.416,0.204,0.316
Sinusoid,1-Stretch,13.630,29.424,0.212,0.316
Sinusoid,1-Stretch,13.830,29.431,0.219,0.365
Sinusoid,1-Stretch,14.030,29.438,0.226,0.340
Sinusoid,1-Stretch,14.230,29.445,0.233,0.438
Sinusoid,1-Stretch,14.430,29.452,0.24,0.389
Sinusoid,1-Stretch,14.630,29.458,0.246,0.463
Sinusoid,1-Stretch,14.830,29.465,0.253,0.438
Sinusoid,1-Stretch,15.030,29.472,0.26,0.438
Sinusoid,1-Stretch,15.230,29.479,0.267,0.438
Sinusoid,1-Stretch,15.430,29.485,0.273,0.438
Sinusoid,1-Stretch,15.630,29.492,0.28,0.438
Sinusoid,1-Stretch,15.830,29.499,0.287,0.438
Sinusoid,1-Stretch,16.030,29.506,0.294,0.463
Sinusoid,1-Stretch,16.230,29.512,0.3,0.463
Sinusoid,1-Stretch,16.430,29.519,0.307,0.487
Sinusoid,1-Stretch,16.630,29.526,0.314,0.463
Sinusoid,1-Stretch,16.830,29.533,0.321,0.463
Sinusoid,1-Stretch,17.030,29.539,0.327,0.463
Sinusoid,1-Stretch,17.230,29.546,0.334,0.463
Sinusoid,1-Stretch,17.430,29.552,0.34,0.463
Sinusoid,1-Stretch,17.630,29.561,0.349,0.511
Sinusoid,1-Stretch,17.830,29.569,0.357,0.634
Sinusoid,1-Stretch,18.030,29.576,0.364,0.560
Sinusoid,1-Stretch,18.230,29.584,0.372,0.609
Sinusoid,1-Stretch,18.430,29.591,0.379,0.609
Sinusoid,1-Stretch,18.630,29.599,0.387,0.560
Sinusoid,1-Stretch,18.830,29.606,0.394,0.634
Sinusoid,1-Stretch,19.030,29.614,0.402,0.585
Sinusoid,1-Stretch,19.230,29.621,0.409,0.609
Sinusoid,1-Stretch,19.430,29.628,0.416,0.634
Sinusoid,1-Stretch,19.630,29.636,0.424,0.634
Sinusoid,1-Stretch,19.830,29.644,0.432,0.658
Sinusoid,1-Stretch,20.030,29.651,0.439,0.658
Sinusoid,1-Stretch,20.230,29.658,0.446,0.658
Sinusoid,1-Stretch,20.430,29.666,0.454,0.658
Sinusoid,1-Stretch,20.630,29.673,0.461,0.658
Sinusoid,1-Stretch,20.830,29.681,0.469,0.682
Sinusoid,1-Stretch,21.030,29.688,0.476,0.780
Sinusoid,1-Stretch,21.230,29.696,0.484,0.756
Sinusoid,1-Stretch,21.430,29.702,0.49,0.805
Sinusoid,1-Stretch,21.630,29.712,0.5,0.805
Sinusoid,1-Stretch,21.830,29.719,0.507,0.756
Sinusoid,1-Stretch,22.030,29.726,0.514,0.805
Sinusoid,1-Stretch,22.230,29.734,0.522,0.780
Sinusoid,1-Stretch,22.430,29.741,0.529,0.731
Sinusoid,1-Stretch,22.630,29.749,0.537,0.829
Sinusoid,1-Stretch,22.830,29.756,0.544,0.805
Sinusoid,1-Stretch,23.030,29.764,0.552,0.829
Sinusoid,1-Stretch,23.230,29.771,0.559,0.854
Sinusoid,1-Stretch,23.430,29.779,0.567,0.829
